id;name;opponent_name;date;bestOf;surface;indoor;speed;winner
1;Marc Andrea Huesler;Jaume Munar;09/04/2023;3;C;false;33;false
2;Francisco Cerundolo;Matteo Berrettini;09/04/2023;3;C;false;33;false
3;Matteo Berrettini;Francisco Cerundolo;09/04/2023;3;C;false;33;true
4;Filip Krajinovic;Roberto Bautista Agut;09/04/2023;3;C;false;33;false
5;Alexei Popyrin;Dusan Lajovic;09/04/2023;3;C;false;33;true
6;Holger Vitus Nodskov Rune;Dominic Thiem;09/04/2023;3;C;false;33;true
7;Grigor Dimitrov;Ben Shelton;09/04/2023;3;C;false;33;true
8;Alexander Bublik;Alexander Zverev;09/04/2023;3;C;false;33;false
9;Jan Lennard Struff;Casper Ruud;09/04/2023;3;C;false;33;true
10;Stan Wawrinka;Tallon Griekspoor;09/04/2023;3;C;false;33;true
11;Tallon Griekspoor;Stan Wawrinka;09/04/2023;3;C;false;33;false
12;Hubert Hurkacz;Laslo Djere;09/04/2023;3;C;false;33;true
13;Hubert Hurkacz;Jack Draper;09/04/2023;3;C;false;33;true
14;Andrey Rublev;Holger Vitus Nodskov Rune;09/04/2023;3;C;false;33;true
15;Nicolas Jarry;Alexei Popyrin;09/04/2023;3;C;false;33;true
16;Roberto Bautista Agut;Filip Krajinovic;09/04/2023;3;C;false;33;true
17;Alexander Zverev;Daniil Medvedev;09/04/2023;3;C;false;33;false
18;Laslo Djere;Hubert Hurkacz;09/04/2023;3;C;false;33;false
19;Daniil Medvedev;Alexander Zverev;09/04/2023;3;C;false;33;true
20;Hubert Hurkacz;Jannik Sinner;09/04/2023;3;C;false;33;false
21;Holger Vitus Nodskov Rune;Andrey Rublev;09/04/2023;3;C;false;33;false
22;Jan Lennard Struff;Albert Ramos;09/04/2023;3;C;false;33;true
23;Jaume Munar;Marc Andrea Huesler;09/04/2023;3;C;false;33;true
24;Alexander Zverev;Roberto Bautista Agut;09/04/2023;3;C;false;33;true
25;Quentin Halys;Alex De Minaur;22/03/2023;3;H;false;75;true
26;Ugo Humbert;Miomir Kecmanovic;22/03/2023;3;H;false;75;false
27;Yosuke Watanuki;Frances Tiafoe;22/03/2023;3;H;false;75;false
28;Karen Khachanov;Daniil Medvedev;22/03/2023;3;H;false;75;false
29;Thanasi Kokkinakis;Hubert Hurkacz;22/03/2023;3;H;false;75;false
30;Grigor Dimitrov;Jan Lennard Struff;22/03/2023;3;H;false;75;true
31;Denis Shapovalov;Guido Pella;22/03/2023;3;H;false;75;true
32;Hubert Hurkacz;Thanasi Kokkinakis;22/03/2023;3;H;false;75;true
33;Christian Garin;Stefanos Tsitsipas;22/03/2023;3;H;false;75;false
34;Marc Andrea Huesler;Albert Ramos;22/03/2023;3;H;false;75;true
35;Quentin Halys;Mackenzie Mcdonald;22/03/2023;3;H;false;75;true
36;Christopher Eubanks;Adrian Mannarino;22/03/2023;3;H;false;75;true
37;Aleksandar Kovacevic;Jaume Munar;22/03/2023;3;H;false;75;true
38;Christopher Eubanks;Daniil Medvedev;22/03/2023;3;H;false;75;false
39;Daniil Medvedev;Karen Khachanov;22/03/2023;3;H;false;75;true
40;Matteo Berrettini;Mackenzie Mcdonald;22/03/2023;3;H;false;75;false
41;Andrey Rublev;Jeffrey John Wolf;22/03/2023;3;H;false;75;true
42;Botic Van De Zandschulp;Casper Ruud;22/03/2023;3;H;false;75;true
43;Hubert Hurkacz;Adrian Mannarino;22/03/2023;3;H;false;75;false
44;Quentin Halys;Pedro Martinez Portero;22/03/2023;3;H;false;75;true
45;Botic Van De Zandschulp;Alexei Popyrin;22/03/2023;3;H;false;75;true
46;Christopher Eubanks;Gregoire Barrere;22/03/2023;3;H;false;75;true
47;Frances Tiafoe;Yosuke Watanuki;22/03/2023;3;H;false;75;true
48;Andrey Rublev;Miomir Kecmanovic;22/03/2023;3;H;false;75;true
49;Casper Ruud;Botic Van De Zandschulp;22/03/2023;3;H;false;75;false
50;Yosuke Watanuki;Benoit Paire;22/03/2023;3;H;false;75;true
51;Alex De Minaur;Quentin Halys;22/03/2023;3;H;false;75;false
52;Christopher Oconnell;Richard Gasquet;22/03/2023;3;H;false;75;false
53;Fabio Fognini;Jan Lennard Struff;22/03/2023;3;H;false;75;false
54;Jan Lennard Struff;Grigor Dimitrov;22/03/2023;3;H;false;75;false
55;Miomir Kecmanovic;Ugo Humbert;22/03/2023;3;H;false;75;true
56;Alexei Popyrin;Mikael Ymer;22/03/2023;3;H;false;75;true
57;Christopher Eubanks;Borna Coric;22/03/2023;3;H;false;75;true
58;Emilio Nava;John Isner;22/03/2023;3;H;false;75;true
59;Felix Auger Aliassime;Thiago Monteiro;22/03/2023;3;H;false;75;true
60;Jan Lennard Struff;Fabio Fognini;22/03/2023;3;H;false;75;true
61;Thanasi Kokkinakis;Zizou Bergs;22/03/2023;3;H;false;75;true
62;Laslo Djere;Aleksandar Vukic;22/03/2023;3;H;false;75;true
63;Stefanos Tsitsipas;Christian Garin;22/03/2023;3;H;false;75;true
64;Alex Molcan;Yoshihito Nishioka;22/03/2023;3;H;false;75;true
65;Daniil Medvedev;Quentin Halys;22/03/2023;3;H;false;75;true
66;Emil Ruusuvuori;Botic Van De Zandschulp;22/03/2023;3;H;false;75;true
67;Jannik Sinner;Andrey Rublev;22/03/2023;3;H;false;75;true
68;John Isner;Emilio Nava;22/03/2023;3;H;false;75;false
69;Lorenzo Sonego;Daniel Evans;22/03/2023;3;H;false;75;true
70;Stefanos Tsitsipas;Karen Khachanov;22/03/2023;3;H;false;75;false
71;Tommy Paul;Marc Andrea Huesler;22/03/2023;3;H;false;75;true
72;Adrian Mannarino;Juncheng Shang;22/03/2023;3;H;false;75;true
73;Albert Ramos;Marc Andrea Huesler;22/03/2023;3;H;false;75;false
74;Alexei Popyrin;Botic Van De Zandschulp;22/03/2023;3;H;false;75;false
75;Brandon Nakashima;Oscar Otte;22/03/2023;3;H;false;75;true
76;Christopher Eubanks;Denis Kudla;22/03/2023;3;H;false;75;true
77;Alexander Zverev;Daniil Medvedev;08/03/2023;3;H;false;56;false
78;Daniil Medvedev;Alexander Zverev;08/03/2023;3;H;false;56;true
79;Cameron Norrie;Taro Daniel;08/03/2023;3;H;false;56;true
80;Maxime Cressy;Alejandro Tabilo;08/03/2023;3;H;false;56;false
81;Jordan Thompson;Stefanos Tsitsipas;08/03/2023;3;H;false;56;true
82;Stan Wawrinka;Holger Vitus Nodskov Rune;08/03/2023;3;H;false;56;true
83;Marc Andrea Huesler;Pedro Martinez Portero;08/03/2023;3;H;false;56;false
84;Thiago Monteiro;Guido Pella;08/03/2023;3;H;false;56;false
85;Yibing Wu;Jaume Munar;08/03/2023;3;H;false;56;true
86;Christian Garin;Casper Ruud;08/03/2023;3;H;false;56;true
87;Stefanos Tsitsipas;Jordan Thompson;08/03/2023;3;H;false;56;false
88;Tomas Martin Etcheverry;Andy Murray;08/03/2023;3;H;false;56;false
89;Alejandro Davidovich Fokina;Karen Khachanov;08/03/2023;3;H;false;56;true
90;Frances Tiafoe;Daniil Medvedev;08/03/2023;3;H;false;56;false
91;Guido Pella;Thiago Monteiro;08/03/2023;3;H;false;56;true
92;Quentin Halys;Jan Lennard Struff;08/03/2023;3;H;false;56;false
